date,event,venue,setlist
2025-08-11,"【ポッケからきゅんっふぇす！vol.29】","吉祥寺CLUB SEATA","SE;01 ろりぽっぷ!!!!!!;MC;02 Say Hello!!;03 MY DREAM MY LIFE;04 HELLO;MC"
2025-08-15,"LapisBell presents　-Jewelry World- Vol.2","新宿ReNY","SE;01 HELLO;02 推し事〜女の子アイドルオタクあるある〜;03 むげんの☆Lambie;04 ぽっぽ♪ポジティブ！！;05 SHINY DAYS;06 ろりぽっぷ!!!!!!!;MC（2本目）"
2025-08-15,"LapisBell presents　-Jewelry World- 番外編SPツーマンライブ！","新宿ReNY","01 乙女ロック;MC;02 BLIND CALL;03 KAWAIIは正義;04 Say Hello!!;05 ぽっぽ♪ポジティブ！！;06 MY DREAM MYLIFE;07 始まりの宴;MC（1本目）"
2025-08-16,"FANTASTIC IDOL TIME DAY3~昼~","渋谷RING","SE;01 ろりぽっぷ!!!!!!!;02 始まりの宴;03 ぽっぽ♪ポジティブ！！;MC"
2025-08-17,"苺花なつみ生誕祭2025~ようこそ、苺花庭園へ~","SHIBUYA CYCLONE","SE;01 KAWAIIは正義;02 始まりの宴;MC;03 💙from Y to Y;04 🍭気まぐれメルシィ;05 乙女ロック;06 ぽっぽ♪ポジティブ！！;MC"
2025-08-23,"【アイドルアラモードプチVol.116】","浅草花劇場","SE;01 ろりぽっぷ!!!!!!!;02 ぽっぽ♪ポジティブ！！;03 推し事〜女の子アイドルオタクあるある〜;04 乙女ロック;05 HELLO;MC（2本目）"
2025-08-23,"Killer Tune SHIBUYA 2025 SP LIVE","SHIBUYA CYCLONE","SE;01 BLIND CALL;02 SHINY DAYS;03 ろりぽっぷ!!!!!!!;04 ぽっぽ♪ポジティブ！！;05 乙女ロック;06 始まりの宴;MC（1本目）"
2025-08-24,"【アイドルマリアージュVol.27】","浅草花劇場","SE;01 乙女ロック;02 ぽっぽ♪ポジティブ！！;03 MY DREAM MY LIFE;04 SHINY DAYS;05 ろりぽっぷ!!!!!!!;MC（1本目）"
2025-08-24,"『すこフェスmini』","渋谷CAMELOT","SE;01 Say Hello!!;02 むげんの★Lambie;03 BLIND CALL;04 HELLO;MC（2本目）"
2025-08-30,"LUNCHKIDS定期公演Vol.8「超！らんちき祭！~夏は終わらせない！超豪華拡大SP~」","神田CLUB F#","SE;01 始まりの宴;02 推し事〜女の子アイドルオタクあるある〜;03 BLIND CALL;04 ぽっぽ♪ポジティブ!!;05 SHINY DAYS;06 ろりぽっぷ!!!!!!!;MC（2本目）"
2025-08-30,"『キャトられのちなると』","Zirco Tokyo","SE;01 ろりぽっぷ!!!!!!!;02 MY DREAM MY LIFE;03 乙女ロック;04 推し事〜女の子アイドルオタクあるある〜;05 むげんの☆Lambie;MC（1本目・しずくちゃん生誕祭）"
